903 2712
691 494 443
28 558 374
32 315 746
415 556 44
56 585 18
809 436 854
709 412 664
487 811 132
443 269 760
745 316 796
109 336 601
278 93 394
478 763 923
548 610 159
774 36 850
669 618 866
432 468 694
487 746 355
260 166 373
570 438 628
777 193 280
11 262 859
605 795 405
344 512 624
93 410 64
408 856 938
343 93 513
280 34 498
196 649 296
500 67 679
675 702 184
331 384 497
488 620 840
814 714 966
652 268 873
581 105 640
307 601 60
358 896 583
196 328 750
197 268 342
766 68 431
428 606 702
470 247 842
686 669 716
182 597 98
505 170 59
543 48 107
856 207 371
517 751 709
742 218 870
8 11 509
174 319 895
773 321 707
294 645 275
648 96 971
130 868 830
56 856 754
374 17 155
693 789 23
691 870 306
849 116 485
98 421 453
115 540 136
654 853 615
837 480 608
524 178 580
356 185 283
37 369 544
233 467 370
738 151 223
2 628 679
179 430 66
577 151 728
404 67 110
543 556 853
229 537 223
113 77 85
856 100 52
20 152 894
198 744 784
170 836 229
624 181 967
189 811 765
272 86 174
843 702 345
219 848 455
733 753 339
223 868 895
74 522 514
603 332 67
673 62 618
171 14 243
546 35 417
539 486 252
13 420 851
93 830 675
9 588 703
629 864 685
801 510 237
849 266 288
635 545 512
489 584 980
114 247 343
431 177 438
219 674 804
32 141 161
10 849 204
322 192 987
626 592 597
452 650 754
622 355 173
232 429 934
812 39 562
256 740 61
810 190 867
162 712 928
568 386 605
65 19 61
483 522 341
292 751 858
407 253 835
139 590 808
740 156 452
186 759 97
419 687 354
846 791 770
307 671 761
647 849 450
599 154 865
600 533 666
534 507 533
765 891 106
335 817 889
626 579 826
842 281 695
98 276 73
55 453 857
612 359 131
448 407 726
816 709 10
245 89 302
316 13 399
518 566 813
570 623 771
635 649 893
272 560 349
338 112 24
726 823 466
76 882 581
31 264 337
135 583 509
565 401 14
879 136 478
383 754 826
383 392 143
854 719 892
538 549 740
389 600 499
574 590 66
54 377 162
232 421 10
603 558 2
398 729 505
580 521 70
573 353 60
242 103 110
123 249 408
654 617 527
770 87 708
90 505 42
33 551 716
263 709 500
882 836 212
348 386 41
610 345 991
431 701 754
268 734 253
98 76 217
770 116 468
469 598 146
368 328 214
413 34 473
170 110 443
202 708 871
77 521 824
886 479 944
93 386 663
103 208 108
316 474 34
303 337 573
4 513 300
256 786 223
848 302 520
737 241 178
59 311 502
877 694 694
666 79 523
878 495 668
225 523 590
11 336 421
626 182 483
638 155 531
862 52 823
180 112 708
754 184 491
893 510 213
450 832 81
77 380 296
460 765 737
15 1 72
91 388 725
863 579 239
262 900 687
247 744 740
396 225 697
128 39 50
465 779 430
767 15 502
560 448 433
240 602 220
823 777 1000
503 70 390
378 134 709
385 297 304
653 262 208
467 447 683
615 318 143
291 58 163
305 354 696
762 607 686
16 495 752
450 125 656
784 507 306
425 488 214
297 415 817
774 779 820
678 746 833
774 165 226
751 895 784
639 822 904
716 194 92
424 769 91
735 208 547
28 614 842
106 589 370
795 237 904
436 280 447
854 723 707
762 54 783
259 687 539
862 465 972
449 8 817
635 449 9
320 729 407
99 530 504
366 304 249
450 534 876
534 173 335
319 764 895
880 731 455
547 146 958
104 832 110
478 732 678
545 661 420
574 80 543
92 853 745
311 294 117
390 745 602
236 243 234
714 166 6
897 70 987
903 284 993
83 627 873
460 828 930
262 497 36
865 650 844
135 130 580
440 701 653
32 523 185
276 765 785
253 552 981
452 762 154
604 417 586
532 776 434
121 225 81
463 99 146
688 872 122
66 634 844
206 274 673
495 606 91
30 681 53
184 540 715
272 424 241
874 483 257
286 530 60
237 641 999
694 510 333
297 92 881
5 419 382
678 847 879
394 563 909
130 241 446
26 331 774
612 339 807
711 447 643
818 510 934
98 54 205
673 662 554
297 428 260
269 756 333
323 214 888
131 610 519
378 822 126
352 546 132
517 886 59
681 506 289
435 602 902
82 475 98
5 470 788
829 34 590
839 639 77
692 317 681
846 510 580
683 626 444
200 101 412
121 495 367
231 834 425
399 547 587
628 89 492
625 19 733
467 725 259
803 170 335
621 669 417
891 438 169
844 49 653
53 687 744
175 520 522
91 460 80
698 271 99
306 465 919
792 37 148
811 449 827
129 522 570
812 784 464
846 535 317
753 494 273
372 374 392
84 172 198
780 238 915
332 122 444
214 116 621
159 386 763
453 424 82
449 74 99
706 394 766
897 221 138
484 265 202
482 684 325
670 366 430
393 348 188
708 791 821
118 467 61
80 777 332
80 296 823
197 548 322
681 21 891
718 533 661
366 242 176
119 58 891
11 648 820
570 683 183
312 227 880
507 595 560
800 629 160
395 811 834
80 262 855
434 660 936
611 674 138
60 853 531
527 873 780
275 765 691
100 376 157
809 479 348
495 596 945
680 741 210
894 10 92
533 25 228
375 429 717
402 272 196
785 358 412
881 820 793
452 424 232
365 61 171
636 556 9
488 816 751
47 490 983
119 538 501
784 221 826
339 274 479
711 372 243
245 169 863
121 897 303
620 868 587
26 723 940
525 25 846
378 134 335
567 594 640
716 331 890
902 826 799
55 108 503
621 311 969
605 674 390
678 759 634
793 667 632
514 859 978
566 374 870
762 617 99
8 598 469
126 520 30
834 549 927
689 438 96
720 161 923
651 124 542
369 441 560
81 614 872
637 425 505
549 623 381
114 610 122
1 380 462
718 544 924
680 414 953
415 213 724
436 370 38
601 37 370
363 506 252
143 800 871
140 504 124
53 103 215
880 236 175
756 572 227
97 802 600
129 649 251
95 755 315
347 714 56
847 846 305
421 303 897
25 612 478
11 822 808
266 699 662
243 656 609
578 831 751
474 813 316
795 19 948
877 858 127
770 360 247
608 715 514
427 704 36
762 901 222
419 119 24
677 257 951
444 713 830
310 55 323
49 142 12
225 421 438
865 218 633
587 89 712
151 673 69
42 320 97
374 223 927
292 142 864
398 73 201
361 847 640
337 178 667
133 637 529
640 196 201
653 316 91
525 265 338
702 658 513
554 463 436
750 102 626
238 615 908
219 455 658
500 84 443
113 851 142
113 764 233
8 23 167
443 689 170
551 456 895
466 576 611
436 812 559
414 306 224
862 484 131
163 789 846
369 633 26
243 348 430
341 445 695
195 384 553
108 493 90
606 507 989
328 750 926
471 808 798
874 592 877
331 620 930
76 883 22
516 879 936
730 422 666
287 514 773
767 500 1
97 761 393
331 59 263
699 401 842
205 117 893
11 472 665
205 301 262
267 849 466
519 192 615
793 513 851
549 449 53
140 281 658
120 536 100
544 25 602
454 53 61
602 877 428
505 338 743
869 585 132
412 465 524
753 350 867
226 415 284
439 40 126
308 732 136
425 235 272
16 467 515
325 614 250
5 81 861
26 422 537
603 649 258
413 903 307
903 252 98
593 363 182
172 119 294
853 782 183
44 551 940
132 764 195
653 843 570
229 286 542
476 623 356
697 52 678
111 864 624
152 567 221
448 64 448
301 145 472
685 335 771
266 170 600
713 477 434
717 548 26
281 642 396
637 75 656
310 758 547
477 169 867
147 613 680
130 902 869
462 147 170
891 897 48
13 370 591
248 53 186
378 459 644
582 468 995
454 41 654
503 536 423
738 113 703
809 575 836
719 143 733
273 724 713
671 702 110
668 649 424
866 57 583
406 533 886
545 604 685
27 855 271
666 683 300
427 258 685
216 58 508
89 549 291
80 900 899
199 420 535
513 762 982
574 575 81
118 892 449
164 150 74
423 727 740
212 743 833
7 716 733
140 667 454
545 736 399
296 333 787
111 160 48
367 818 892
779 793 842
315 92 728
203 345 348
663 117 65
692 503 682
65 19 211
811 694 572
730 197 592
388 479 586
898 523 42
687 713 522
715 371 209
871 377 680
686 110 565
730 823 293
445 808 69
846 760 808
668 864 660
83 878 806
203 847 465
14 736 947
599 701 710
831 638 15
726 408 304
383 859 624
430 759 595
721 422 194
262 489 583
475 208 217
233 276 471
307 467 569
234 787 699
672 725 423
825 871 490
895 774 925
476 102 997
492 520 796
405 613 444
611 892 536
854 442 362
699 717 133
772 241 537
452 504 233
257 772 649
877 291 897
253 137 404
122 776 178
735 422 479
294 868 870
296 88 110
820 610 555
607 405 85
250 73 470
585 152 382
45 520 294
293 729 362
896 544 779
437 767 621
546 826 667
435 111 528
305 580 411
541 338 181
599 677 752
872 134 880
649 247 95
828 628 835
684 738 602
10 876 396
702 580 490
484 79 360
891 584 914
111 711 740
717 636 862
498 60 107
461 837 152
292 318 911
386 875 367
546 34 667
340 360 40
180 41 470
221 450 381
57 109 434
411 303 264
43 24 105
824 649 392
355 27 694
725 20 252
857 889 864
40 272 665
829 12 223
566 310 770
665 242 823
295 80 402
55 451 193
629 798 400
361 484 567
95 353 107
598 396 682
240 50 489
884 169 288
649 874 361
614 129 593
564 262 492
494 381 218
291 381 400
709 362 398
344 324 579
850 90 639
573 615 987
579 369 140
153 526 970
119 827 865
133 373 152
385 25 929
237 292 580
505 1 172
779 697 863
127 875 80
591 884 149
533 563 431
420 841 495
33 9 267
623 748 649
567 1 438
613 614 41
491 660 508
361 274 753
15 191 34
515 783 660
464 648 680
796 470 951
276 223 393
705 156 699
768 635 912
523 551 621
247 83 954
843 505 379
165 722 702
698 563 453
294 680 967
498 727 115
246 443 226
410 568 783
545 402 925
633 98 403
690 466 10
499 810 311
391 574 105
393 791 442
581 417 357
805 777 826
398 619 932
169 674 359
100 665 866
530 738 717
102 538 624
491 475 970
775 215 459
692 252 142
635 888 448
502 340 273
192 280 844
546 371 932
662 291 282
158 344 647
638 800 674
614 317 82
321 821 384
712 185 330
148 484 742
305 372 105
160 368 802
697 216 50
486 329 530
691 392 902
81 325 398
34 844 235
351 550 975
186 64 686
372 354 277
628 117 503
780 637 492
402 114 744
324 546 15
673 615 669
145 776 127
442 117 320
130 289 238
547 426 813
206 537 329
340 512 133
11 702 210
768 413 833
256 559 604
837 204 811
561 138 102
137 68 77
868 595 399
209 323 4
780 757 290
446 787 623
178 25 472
583 775 390
152 831 730
445 169 876
315 476 500
93 496 976
842 745 50
616 883 49
482 324 963
12 305 362
118 558 300
180 188 119
786 477 101
35 541 817
141 124 179
707 120 887
699 223 465
713 245 324
510 868 698
86 609 410
439 111 749
406 191 624
731 773 368
118 745 914
863 869 899
176 329 303
461 644 126
238 227 315
226 813 880
107 871 372
255 110 326
519 129 145
26 686 870
23 617 535
792 284 674
601 496 674
873 617 487
283 788 216
443 163 279
816 563 728
807 337 386
477 418 742
553 150 807
396 544 882
515 15 63
459 405 49
710 215 160
206 300 27
270 212 49
148 191 40
214 254 893
259 63 241
501 24 447
107 405 534
200 492 272
346 231 697
140 724 107
191 719 520
841 43 556
672 382 423
527 14 5
324 193 625
792 266 122
246 227 553
535 401 419
220 885 187
200 900 233
169 448 933
178 442 431
381 564 12
579 480 152
566 435 316
487 455 363
699 241 96
490 700 464
81 321 33
300 299 313
551 615 923
171 13 454
13 301 93
718 584 842
619 674 481
53 124 883
586 808 957
234 274 752
438 744 971
566 522 39
378 359 934
882 348 220
151 181 775
488 775 834
392 347 578
882 689 261
602 475 785
704 641 138
873 497 790
401 305 391
471 699 368
886 12 271
4 327 481
840 783 871
4 891 105
608 93 27
200 458 117
768 566 226
50 505 994
247 727 620
887 167 684
251 7 437
462 585 229
713 194 941
485 180 265
807 521 361
808 244 952
428 260 185
883 715 136
556 507 190
775 529 969
828 507 476
583 889 452
459 89 906
272 290 5
534 401 215
847 787 977
465 9 490
860 560 155
243 427 492
560 387 358
801 710 447
857 749 601
887 782 64
439 714 383
124 670 221
387 110 463
135 450 631
370 732 143
672 252 719
721 564 850
874 648 772
692 415 59
334 709 891
854 430 649
356 149 688
292 264 133
417 473 612
16 551 722
133 81 127
3 356 124
59 424 493
880 581 743
603 635 643
675 720 358
531 126 881
147 645 421
131 413 575
362 787 207
93 49 735
176 249 697
374 172 667
66 518 434
472 728 518
662 79 862
396 830 165
317 610 869
219 848 975
148 310 511
401 558 945
341 237 669
876 655 331
651 688 783
506 786 191
328 52 626
383 903 537
410 179 912
895 565 799
111 624 456
462 441 251
784 89 184
756 808 918
737 131 140
822 475 325
319 121 103
585 803 990
649 802 527
685 274 987
30 782 642
866 9 318
74 718 785
177 86 839
411 659 480
750 831 155
161 221 549
45 327 155
858 192 648
879 781 789
673 781 901
858 137 26
165 538 523
510 586 355
191 246 371
166 636 13
207 501 395
429 458 564
583 49 250
469 759 447
849 244 759
473 275 511
426 86 792
398 661 168
234 81 28
67 503 187
413 35 450
871 663 487
532 601 330
464 381 494
6 849 562
707 420 737
309 133 155
627 144 609
227 855 109
753 642 679
10 243 466
768 230 832
359 530 234
508 883 247
272 485 470
599 751 64
280 372 753
566 24 488
768 337 479
168 792 836
216 846 380
91 282 794
29 751 274
535 630 577
333 717 664
743 36 280
677 208 489
178 175 12
681 670 671
520 703 964
564 38 789
236 285 843
461 781 806
229 358 885
755 582 239
530 884 406
129 810 869
788 211 581
879 840 611
67 24 227
624 528 741
307 439 972
186 707 200
896 893 436
586 336 96
509 119 478
790 306 54
587 502 97
52 769 546
43 657 23
67 401 979
845 530 582
51 243 142
23 292 76
728 287 428
136 680 288
70 310 375
873 216 800
417 758 445
50 362 235
515 533 528
330 327 118
623 72 711
69 633 148
120 112 383
102 555 503
173 340 628
221 534 430
877 592 800
589 433 676
468 598 809
231 244 732
822 353 909
318 315 406
349 513 284
71 749 295
612 155 49
823 515 872
900 138 897
856 216 580
488 625 678
722 330 803
74 142 867
66 856 684
837 844 10
51 785 602
74 306 114
377 205 141
839 184 266
313 884 599
821 41 665
599 707 70
503 622 219
85 176 166
657 383 276
149 452 366
403 681 918
242 609 257
453 828 558
87 335 580
52 694 671
429 636 286
604 33 70
6 40 329
166 658 695
343 522 338
173 803 57
482 66 620
315 312 820
7 621 107
309 757 964
530 546 649
365 146 418
724 283 667
239 85 902
65 336 656
324 305 869
595 517 705
33 108 737
431 531 586
11 845 926
621 267 129
63 626 484
174 570 168
852 553 20
864 299 132
385 210 371
795 168 96
320 109 723
190 723 389
2 406 36
506 589 96
869 459 163
445 466 863
57 680 44
245 172 247
745 648 718
576 226 663
452 383 169
508 90 792
442 42 528
313 321 161
777 532 369
92 128 613
38 104 119
334 90 519
244 542 333
147 150 20
615 680 851
442 670 98
712 245 296
332 895 931
234 247 122
478 268 940
773 538 580
405 778 730
613 374 228
672 122 390
733 667 367
63 411 716
840 434 583
784 488 911
657 88 214
59 447 702
185 672 248
74 159 253
443 776 630
832 408 226
868 16 71
789 282 434
226 343 580
796 24 537
70 802 527
903 835 955
38 299 919
154 564 36
873 903 105
601 222 802
158 599 233
699 395 293
587 839 655
139 286 136
693 744 139
171 315 878
17 308 499
62 535 763
351 849 161
164 509 985
90 113 204
812 686 14
232 508 285
800 356 687
52 43 107
21 118 530
316 211 816
542 243 860
781 627 513
117 769 388
10 376 345
646 701 395
94 887 756
158 116 422
795 406 342
524 319 125
108 42 369
726 801 388
438 632 195
641 4 903
162 76 512
141 746 364
469 98 189
199 863 785
568 9 15
400 411 412
860 180 145
388 56 962
853 257 730
306 87 467
236 822 990
138 502 154
193 524 671
214 660 530
454 584 413
699 7 174
36 445 513
618 881 529
79 78 431
682 80 518
145 801 717
273 131 967
77 619 980
835 622 911
817 546 297
381 830 221
588 528 207
453 59 330
581 413 541
326 653 783
98 100 377
734 590 654
303 175 452
139 150 522
724 173 648
100 764 400
38 388 590
46 656 27
421 585 997
425 307 875
335 342 175
82 238 537
79 77 896
334 752 644
648 357 600
106 725 184
510 445 17
465 516 741
103 267 873
849 519 45
472 360 854
586 34 571
41 786 703
463 498 612
756 222 121
724 134 182
754 193 530
426 886 720
385 364 896
202 149 96
641 651 870
660 99 758
195 823 283
371 248 642
287 428 9
313 627 612
73 154 126
427 294 524
688 459 658
859 382 801
258 849 283
17 480 354
804 477 726
102 637 551
493 409 897
279 588 684
207 166 241
748 242 171
597 762 904
563 561 708
709 728 232
587 369 36
94 17 937
678 513 631
759 604 43
171 712 323
659 820 957
341 730 399
257 207 989
378 726 329
729 290 587
101 888 23
1 812 595
475 821 37
584 207 357
452 462 663
849 532 722
892 637 986
108 424 722
289 896 393
354 123 704
897 798 287
508 366 244
286 739 600
885 69 492
137 780 343
354 291 108
844 44 618
246 844 473
73 381 734
527 459 117
309 133 935
624 306 989
648 172 418
787 786 913
825 490 18
347 588 85
158 172 930
716 102 98
564 527 792
26 342 38
475 338 410
340 600 876
291 619 918
497 437 523
207 629 722
254 728 523
626 44 897
726 73 581
326 760 514
666 349 709
309 439 637
681 740 352
514 805 65
781 20 712
628 831 957
598 613 368
198 658 431
319 74 136
504 883 447
414 773 717
135 320 783
109 405 291
867 750 870
316 230 866
154 443 283
145 863 864
257 568 218
617 278 347
567 746 814
582 269 612
769 173 658
224 495 634
256 804 440
877 533 879
804 147 459
883 845 513
360 593 373
149 460 134
103 580 678
445 148 709
831 880 799
768 649 978
371 476 655
10 398 342
756 435 14
456 216 191
41 56 170
398 387 468
320 126 94
775 46 382
781 695 36
173 862 250
806 816 182
436 430 908
233 460 326
757 143 275
130 135 938
640 619 616
642 354 510
90 853 218
384 32 689
618 203 440
379 196 958
560 899 781
226 688 728
258 845 94
684 753 831
352 313 847
44 846 323
135 806 948
683 473 638
559 64 363
661 20 244
362 45 330
223 348 892
862 11 257
608 359 222
583 375 270
94 195 715
269 261 217
230 823 418
511 89 477
816 533 323
465 371 135
508 108 532
174 747 184
737 829 555
166 685 108
412 174 495
178 704 587
697 689 629
257 738 333
806 83 986
728 87 511
625 85 786
593 602 965
583 446 818
644 547 387
178 6 205
821 769 451
831 269 172
170 711 317
157 688 119
422 311 991
311 464 932
217 66 587
330 384 946
357 807 748
876 281 364
532 35 578
448 634 968
2 457 568
190 182 569
779 564 215
522 263 162
418 710 283
276 555 429
17 49 413
20 364 876
430 776 604
894 673 99
478 595 570
594 618 98
68 754 897
288 789 71
1 839 25
809 315 46
527 497 691
261 252 367
71 324 36
706 378 800
668 748 830
518 675 34
601 346 80
439 230 145
777 513 949
297 789 677
33 229 958
624 641 754
240 252 183
455 638 402
810 496 81
713 359 479
192 569 827
591 466 768
879 891 888
415 65 346
577 23 373
836 95 594
214 7 600
140 767 539
485 342 661
684 785 672
244 593 910
562 527 532
390 470 965
630 767 888
632 420 716
748 409 573
810 849 54
643 493 44
283 425 956
95 431 518
526 755 870
71 751 760
739 170 169
864 708 874
63 604 999
305 861 952
846 548 661
383 384 194
259 557 254
273 5 508
242 614 911
295 240 78
255 19 124
85 779 507
644 560 256
553 461 802
454 579 163
624 828 225
854 537 887
839 721 920
122 875 422
351 833 43
143 522 961
775 393 94
85 457 361
153 55 648
570 879 904
564 215 229
130 458 77
379 422 210
234 463 203
616 756 66
644 354 621
806 744 862
729 101 675
48 132 985
283 494 897
355 24 619
848 895 529
797 327 271
275 17 464
165 138 846
601 755 216
760 63 116
202 348 107
715 440 370
280 435 46
455 552 487
1 451 641
867 419 179
174 339 128
671 849 246
605 465 126
651 659 289
383 728 883
226 646 145
881 824 655
861 204 327
237 850 703
357 272 204
129 338 686
899 681 792
623 207 79
629 552 798
831 801 401
851 5 723
299 89 490
626 428 992
361 292 877
372 708 233
482 546 546
18 55 223
682 745 482
74 91 293
512 518 615
446 878 925
150 612 633
865 723 170
464 373 378
793 305 953
712 489 334
349 598 99
163 793 494
487 615 985
569 206 755
185 278 1000
619 39 439
289 775 723
188 690 607
36 23 934
267 190 746
675 207 455
597 530 537
468 248 84
429 93 701
29 119 196
565 220 859
786 594 964
879 567 577
678 160 871
334 574 590
585 65 171
238 23 133
749 215 591
140 562 160
311 865 271
183 464 153
368 103 685
28 257 359
838 30 996
849 232 337
812 271 640
317 633 361
207 459 807
803 148 549
369 326 580
775 518 17
838 345 861
845 353 107
446 85 669
467 325 227
783 704 595
95 753 13
186 198 803
715 58 190
75 411 664
723 605 387
119 686 753
223 245 826
792 774 276
755 365 510
717 22 169
318 502 185
808 873 966
691 842 643
850 202 559
155 884 502
592 143 494
826 179 507
815 410 24
23 169 19
647 137 84
850 882 606
122 302 492
10 66 325
821 729 560
847 466 447
748 428 458
858 860 659
597 225 708
335 2 891
179 444 734
888 214 210
881 332 200
887 470 439
494 629 141
682 38 874
323 808 305
901 506 632
149 367 673
72 220 499
248 27 953
519 93 514
886 245 53
403 143 433
148 669 31
105 702 861
744 369 54
898 377 635
674 857 5
337 869 380
327 457 894
204 475 516
467 193 486
266 63 463
301 288 384
867 682 886
541 609 558
456 363 876
262 117 765
84 650 43
517 627 350
429 536 758
172 737 354
675 108 971
535 433 739
56 346 50
106 187 11
148 451 124
386 502 991
898 670 784
462 267 723
575 57 354
380 639 148
642 367 472
723 641 25
167 362 322
200 803 80
177 340 212
375 332 409
872 451 132
182 1 348
2 174 678
276 79 101
464 110 467
28 525 391
670 426 979
190 264 280
582 602 855
106 876 692
755 702 887
750 487 324
367 493 635
365 603 169
563 579 352
99 621 724
337 733 241
390 51 419
335 57 793
434 750 35
509 415 382
675 194 90
697 177 110
542 115 713
592 736 408
67 189 141
291 388 406
871 801 481
513 225 27
474 547 376
253 887 676
455 884 290
173 666 908
456 33 506
58 304 232
755 799 588
102 715 870
482 151 344
279 38 345
374 161 950
443 675 85
847 304 670
651 445 450
453 758 248
631 100 551
696 312 753
29 866 977
62 370 747
556 253 203
27 618 549
495 183 516
333 425 451
108 360 347
133 577 465
685 899 660
520 780 153
625 726 441
179 278 346
350 786 82
332 160 318
540 591 462
844 390 106
115 543 855
7 429 174
250 756 361
568 352 582
150 257 262
795 757 762
377 18 289
900 260 820
403 685 880
465 791 994
344 347 784
885 849 794
751 490 211
360 297 236
693 848 584
646 601 983
108 46 413
872 645 919
756 564 821
453 751 584
648 253 894
893 75 20
464 598 419
590 818 123
851 486 790
425 338 53
536 493 173
850 353 623
691 678 233
31 686 808
294 156 473
120 311 732
521 462 848
570 486 999
588 277 711
370 490 935
150 65 294
705 892 972
670 856 694
802 354 227
772 609 399
231 900 330
566 466 350
272 46 91
531 106 864
811 382 711
518 153 177
126 15 72
312 620 448
133 799 894
382 625 636
254 793 454
486 455 771
896 146 15
622 679 447
78 689 608
55 696 884
376 507 342
600 870 281
619 134 927
851 485 127
446 224 712
385 700 710
727 881 1
493 156 810
3 807 920
625 233 757
8 722 158
816 276 297
187 260 875
552 602 855
697 148 579
690 649 661
198 848 205
449 690 490
496 794 712
624 253 563
622 502 943
418 600 799
849 479 283
632 346 205
460 697 271
35 206 363
330 445 838
266 860 964
458 242 423
72 291 352
674 504 92
251 397 404
68 787 968
8 530 765
731 859 770
352 438 690
611 307 906
30 608 178
450 875 591
702 849 463
474 679 663
609 41 701
201 353 354
322 606 316
712 173 698
307 652 139
231 282 415
316 265 659
478 856 920
495 412 154
883 756 186
288 660 423
31 614 449
322 894 840
776 435 656
251 523 336
12 281 777
866 123 966
658 113 999
676 582 486
753 736 923
468 364 328
743 775 269
247 414 976
528 168 776
529 768 971
414 211 390
369 541 282
885 595 897
612 824 302
3 143 897
66 60 571
867 504 821
52 710 469
3 577 132
417 690 897
217 546 167
